Plate	Well.position	Catalog.Nr	Probe.ID	Sample.Name	Accession	Comment
9	A1	410344-00	NA	hsa-mir-551b	MIMAT0003233	NA
9	A2	NA	45284	hsa-mir-568	MIMAT0003232	NA
9	A3	NA	45290	hsa-mir-574-3p	MIMAT0003239	NA
9	A4	NA	45291	hsa-mir-574-5p	MIMAT0004795	NA
9	A5	NA	45492	hsa-mir-574-5p	MIMAT0004795	NA
9	A6	NA	45301	hsa-mir-582-5p	MIMAT0003247	NA
9	A7	NA	45310	hsa-mir-590-3p	MIMAT0004801	NA
9	A8	NA	45311	hsa-mir-590-5p	MIMAT0003258	NA
9	A9	410373-00	NA	hsa-mir-592	MIMAT0003260	NA
9	A10	NA	45336	hsa-mir-615-3p	MIMAT0003283	NA
9	A11	NA	45337	hsa-mir-615-5p	MIMAT0004804	NA
9	A12	NA	NA		NA	NA
9	B1	410417-00	NA	hsa-mir-652	MIMAT0003322	NA
9	B2	NA	45380	hsa-mir-653	MIMAT0003328	NA
9	B3	410418-00	NA	hsa-mir-654-3p	MIMAT0004814	NA
9	B4	NA	45393	hsa-mir-668	MIMAT0003881	NA
9	B5	410425-00	NA	hsa-mir-671-3p	MIMAT0004819	NA
9	B6	NA	45395	hsa-mir-671-5p	MIMAT0003880	NA
9	B7	NA	45396	hsa-mir-672	NA	hsa-mir-672 was cloned from human/but is absent in the NCBI36 genome assembly. The previously displayed human hairpin was the mouse sequence.
9	B8	NA	45397	hsa-mir-674/hsa-miRPlus-D1100	NA	hsa-mir-674 was cloned from human/but is absent in the NCBI36 genome assembly. The previously displayed human hairpin was the mouse sequence. 
9	B9	NA	45402	hsa-mir-708	MIMAT0004926	NA
9	B10	410430-00	NA	hsa-mir-708*	MIMAT0004927	NA
9	B11	NA	45404	hsa-mir-744	MIMAT0004945	NA
9	B12	NA	NA		NA	NA
9	C1	410431-00	NA	hsa-mir-744*	MIMAT0004946	NA
9	C2	NA	45407	hsa-mir-760	MIMAT0004957	NA
9	C3	NA	45399	hsa-mir-7	MIMAT0000252	NA
9	C4	410428-00	NA	hsa-mir-7-1*	MIMAT0004553	NA
9	C5	NA	45418	hsa-mir-802	MIMAT0004185	NA
9	C6	NA	45419	hsa-mir-871	NA	hsa-mir-871 was cloned from human/but is absent in the NCBI36 genome assembly. The previously displayed human hairpin was the mouse sequence. 
9	C7	410438-00	NA	hsa-mir-872/hsa-miRPlus-D1090	NA	hsa-mir-872 was cloned from human/but is absent in the NCBI36 genome assembly. The previously displayed human hairpin was the mouse sequence. 
9	C8	NA	45421	hsa-mir-873	MIMAT0004953	NA
9	C9	410439-00	NA	hsa-mir-874	MIMAT0004911	NA
9	C10	410441-00	NA	hsa-mir-875-5p	MIMAT0004922	NA
9	C11	NA	45427	hsa-mir-877	MIMAT0004949	NA
9	C12	NA	NA		NA	NA
9	D1	NA	45442	hsa-mir-9	MIMAT0000441	NA
9	D2	NA	45443	hsa-mir-9*	MIMAT0000442	NA
9	D3	NA	45449	hsa-mir-92a	MIMAT0000092	NA
9	D4	NA	45452	hsa-mir-92b	MIMAT0003218	NA
9	D5	410458-00	NA	hsa-mir-93	MIMAT0000093	NA
9	D6	410459-00	NA	hsa-mir-93*	MIMAT0004509	NA
9	D7	410467-00	NA	hsa-mir-96	MIMAT0000095	NA
9	D8	410469-00	NA	hsa-mir-98	MIMAT0000096	NA
9	D9	410470-00	NA	hsa-mir-99a	MIMAT0000097	NA
9	D10	410472-00	NA	hsa-mir-99b	MIMAT0000689	NA
9	D11	410473-00	NA	hsa-mir-99b*	MIMAT0004678	NA
9	D12	NA	NA	NA	NA	NA
9	E1	NA	NA	MOCK	NA	NA
9	E2	NA	NA	MOCK	NA	NA
9	E3	NA	NA	MOCK	NA	NA
9	E4	NA	NA	MOCK	NA	NA
9	E5	NA	NA	MOCK	NA	NA
9	E6	NA	NA	MOCK	NA	NA
9	E7	NA	NA	MOCK	NA	NA
9	E8	NA	NA	MOCK	NA	NA
9	E9	NA	NA	MOCK	NA	NA
9	E10	NA	NA	MOCK	NA	NA
9	E11	NA	NA	MOCK	NA	NA
9	E12	NA	NA	NA	NA	NA
9	F1	NA	NA	MOCK	NA	NA
9	F2	NA	NA	MOCK	NA	NA
9	F3	NA	NA	MOCK	NA	NA
9	F4	NA	NA	MOCK	NA	NA
9	F5	NA	NA	MOCK	NA	NA
9	F6	NA	NA	MOCK	NA	NA
9	F7	NA	NA	MOCK	NA	NA
9	F8	NA	NA	MOCK	NA	NA
9	F9	NA	NA	MOCK	NA	NA
9	F10	NA	NA	MOCK	NA	NA
9	F11	NA	NA	MOCK	NA	NA
9	F12	NA	NA	NA	NA	NA
9	G1	NA	NA	MOCK	NA	NA
9	G2	NA	NA	MOCK	NA	NA
9	G3	NA	NA	MOCK	NA	NA
9	G4	NA	NA	MOCK	NA	NA
9	G5	NA	NA	MOCK	NA	NA
9	G6	NA	NA	MOCK	NA	NA
9	G7	NA	NA	MOCK	NA	NA
9	G8	NA	NA	MOCK	NA	NA
9	G9	NA	NA	MOCK	NA	NA
9	G10	NA	NA	MOCK	NA	NA
9	G11	NA	NA	MOCK	NA	NA
9	G12	NA	NA	NA	NA	NA
9	H1	NA	NA	MOCK	NA	NA
9	H2	NA	NA	MOCK	NA	NA
9	H3	NA	NA	MOCK	NA	NA
9	H4	NA	NA	MOCK	NA	NA
9	H5	NA	NA	MOCK	NA	NA
9	H6	NA	NA	MOCK	NA	NA
9	H7	NA	NA	MOCK	NA	NA
9	H8	NA	NA	MOCK	NA	NA
9	H9	NA	NA	MOCK	NA	NA
9	H10	NA	NA	MOCK	NA	NA
9	H11	NA	NA	MOCK	NA	NA
9	H12	NA	NA	NA	NA	NA
10	A1	410967-00	NA	hsa-mir-1207-3p	MIMAT0005872	NA
10	A2	NA	58282	hsa-mir-320c	MIMAT0005793	NA
10	A3	410522-00	NA	hsa-mir-1825	MIMAT0006765	NA
10	A4	NA	50575	hsa-mir-1286	MIMAT0005877	NA
10	A5	411030-00	NA	hsa-mir-133b	MIMAT0000770	NA
10	A6	410567-00	NA	hsa-mir-1284	MIMAT0005941	NA
10	A7	410584-00	NA	hsa-mir-1324	MIMAT0005956	NA
10	A8	410607-00	NA	hsa-mir-1255a	MIMAT0005906	NA
10	A9	413732-00	NA	hsa-mir-1537	MIMAT0007399	NA
10	A10	410656-00	NA	hsa-mir-1255b	MIMAT0005945	NA
10	A11	410675-00	NA	hsa-mir-1308	MIMAT0005947	NA
10	A12	NA	NA		NA	NA
10	B1	410498-00	NA	hsa-mir-1250	MIMAT0005902	NA
10	B2	410511-00	NA	hsa-mir-1287	MIMAT0005878	NA
10	B3	410524-00	NA	hsa-mir-107	MIMAT0000104	NA
10	B4	411020-00	NA	hsa-mir-1228	MIMAT0005583	NA
10	B5	410546-00	NA	hsa-mir-106a	MIMAT0000103	NA
10	B6	NA	58375	hsa-mir-1259	MIMAT0005910	NA
10	B7	411055-00	NA	hsa-mir-1279	MIMAT0005937	NA
10	B8	410619-00	NA	hsa-mir-1273	MIMAT0005926	NA
10	B9	410641-00	NA	hsa-mir-1264	MIMAT0005791	NA
10	B10	410657-00	NA	hsa-mir-1244	MIMAT0005896	NA
10	B11	NA	58424	hsa-mir-1295	MIMAT0005885	NA
10	B12	NA	NA		NA	NA
10	C1	NA	58266	hsa-mir-1301	MIMAT0005797	NA
10	C2	413724-00	NA	hsa-mir-1914	MIMAT0007889	NA
10	C3	413726-00	NA	hsa-mir-675*	MIMAT0006790	NA
10	C4	NA	50578	hsa-mir-1285	MIMAT0005876	NA
10	C5	413729-00	NA	hsa-mir-1912	MIMAT0007887	NA
10	C6	410571-00	NA	hsa-mir-1289	MIMAT0005879	NA
10	C7	NA	50685	hsa-mir-1300	MIMAT0005888	NA
10	C8	410621-00	NA	hsa-mir-1252	MIMAT0005944	NA
10	C9	411078-00	NA	hsa-mir-1277	MIMAT0005933	NA
10	C10	410660-00	NA	hsa-mir-1243	MIMAT0005894	NA
10	C11	415018-00	NA	hsa-mir-526a/hsa-mir-518d-5p/hsa-mir-520c-5p	MIMAT0002845/MIMAT0005456/MIMAT0005455	NA
10	C12	NA	NA		NA	NA
10	D1	410968-00	NA	hsa-mir-1249	MIMAT0005901	NA
10	D2	413725-00	NA	hsa-mir-1909*	MIMAT0007882	NA
10	D3	413727-00	NA	hsa-mir-1469	MIMAT0007347	NA
10	D4	411022-00	NA	hsa-mir-1280	MIMAT0005946	NA
10	D5	NA	58349	hsa-mir-1182	MIMAT0005827	NA
10	D6	411051-00	NA	hsa-mir-302f	MIMAT0005932	NA
10	D7	410595-00	NA	hsa-mir-302e	MIMAT0005931	NA
10	D8	410629-00	NA	hsa-mir-17	MIMAT0000070	NA
10	D9	410642-00	NA	hsa-mir-1185	MIMAT0005798	NA
10	D10	411088-00	NA	hsa-mir-548m	MIMAT0005917	NA
10	D11	410678-00	NA	hsa-mir-1201	MIMAT0005864	NA
10	D12	NA	NA		NA	NA
10	E1	410970-00	NA	hsa-mir-1275	MIMAT0005929	NA
10	E2	410517-00	NA	hsa-mir-1200	MIMAT0005863	NA
10	E3	NA	94996	hsa-mir-1915	MIMAT0007892	NA
10	E4	410539-00	NA	hsa-mir-1260	MIMAT0005911	NA
10	E5	NA	58360	hsa-mir-1181	MIMAT0005826	NA
10	E6	410578-00	NA	hsa-mir-517b	MIMAT0002857	NA
10	E7	410596-00	NA	hsa-mir-1322	MIMAT0005953	NA
10	E8	410636-00	NA	hsa-mir-1203	MIMAT0005866	NA
10	E9	410644-00	NA	hsa-mir-1304	MIMAT0005892	NA
10	E10	410666-00	NA	hsa-mir-548o	MIMAT0005919	NA
10	E11	411098-00	NA	hsa-mir-133a	MIMAT0000427	NA
10	E12	NA	NA		NA	NA
10	F1	410503-00	NA	hsa-mir-1298	MIMAT0005800	NA
10	F2	410519-00	NA	hsa-mir-758	MIMAT0003879	NA
10	F3	413019-00	NA	hsa-mir-1539	MIMAT0007401	NA
10	F4	411024-00	NA	hsa-mir-1229	MIMAT0005584	NA
10	F5	410550-00	NA	hsa-mir-1245	MIMAT0005897	NA
10	F6	410580-00	NA	hsa-mir-520f	MIMAT0002830	NA
10	F7	410597-00	NA	hsa-mir-1282	MIMAT0005940	NA
10	F8	410637-00	NA	hsa-mir-548h	MIMAT0005928	NA
10	F9	410648-00	NA	hsa-mir-1265	MIMAT0005918	NA
10	F10	410669-00	NA	hsa-mir-1179	MIMAT0005824	NA
10	F11	411107-00	NA	hsa-mir-1263	MIMAT0005915	NA
10	F12	NA	NA		NA	NA
10	G1	410972-00	NA	hsa-mir-1228*	MIMAT0005582	NA
10	G2	NA	50534	hsa-mir-1197	MIMAT0005955	NA
10	G3	411014-00	NA	hsa-mir-1225-3p	MIMAT0005573	NA
10	G4	410544-00	NA	hsa-mir-1178	MIMAT0005823	NA
10	G5	410554-00	NA	hsa-mir-1236	MIMAT0005591	NA
10	G6	410582-00	NA	hsa-mir-548f	MIMAT0005895	NA
10	G7	413730-00	NA	hsa-mir-1468	MIMAT0006789	NA
10	G8	410638-00	NA	hsa-mir-548l	MIMAT0005889	NA
10	G9	411081-00	NA	hsa-mir-1306	MIMAT0005950	NA
10	G10	410672-00	NA	hsa-mir-1248	MIMAT0005900	NA
10	G11	410707-00	NA	hsa-mir-1305	MIMAT0005893	NA
10	G12	NA	NA		NA	NA
10	H1	410508-00	NA	hsa-mir-520c-3p	MIMAT0002846	NA
10	H2	410998-00	NA	hsa-mir-1184	MIMAT0005829	NA
10	H3	NA	50573	hsa-mir-412	MIMAT0002170	NA
10	H4	410545-00	NA	hsa-mir-1226	MIMAT0005577	NA
10	H5	411045-00	NA	hsa-mir-1234	MIMAT0005589	NA
10	H6	410583-00	NA	hsa-mir-548p	MIMAT0005934	NA
10	H7	410599-00	NA	hsa-mir-1261	MIMAT0005913	NA
10	H8	411077-00	NA	hsa-mir-548n	MIMAT0005916	NA
10	H9	410655-00	NA	hsa-mir-449a	MIMAT0001541	NA
10	H10	410674-00	NA	hsa-mir-517a	MIMAT0002852	NA
10	H11	413733-00	NA	hsa-mir-1914*	MIMAT0007890	NA
10	H12	NA	NA		NA	NA
11	A1	NA	58447	hsa-mir-1291	MIMAT0005881	NA
11	A2	NA	58464	hsa-mir-1226*	MIMAT0005576	NA
11	A3	410747-00	NA	hsa-mir-1208	MIMAT0005873	NA
11	A4	410789-00	NA	hsa-mir-1267	MIMAT0005921	NA
11	A5	410821-00	NA	hsa-mir-1256	MIMAT0005907	NA
11	A6	413043-00	NA	hsa-mir-1470	MIMAT0007348	NA
11	A7	NA	51092	hsa-mir-1283	MIMAT0005799	NA
11	A8	410872-00	NA	hsa-mir-548j	MIMAT0005875	NA
11	A9	410903-00	NA	hsa-mir-513b	MIMAT0005788	NA
11	A10	410931-00	NA	hsa-mir-1272	MIMAT0005925	NA
11	A11	410957-00	NA	hsa-mir-1258	MIMAT0005909	NA
11	A12	NA	NA		NA	NA
11	B1	410719-00	NA	hsa-mir-1246	MIMAT0005898	NA
11	B2	413024-00	NA	hsa-mir-1911	MIMAT0007885	NA
11	B3	411144-00	NA	hsa-mir-1247	MIMAT0005899	NA
11	B4	411170-00	NA	hsa-mir-548g	MIMAT0005912	NA
11	B5	413038-00	NA	hsa-mir-1910	MIMAT0007884	NA
11	B6	411197-00	NA	hsa-mir-1274a	MIMAT0005927	NA
11	B7	410844-00	NA	hsa-mir-1206	MIMAT0005870	NA
11	B8	411216-00	NA	hsa-mir-150*	MIMAT0004610	NA
11	B9	410913-00	NA	hsa-mir-1278	MIMAT0005936	NA
11	B10	411266-00	NA	hsa-mir-1204	MIMAT0005868	NA
11	B11	NA	51286	hsa-mir-320d	MIMAT0006764	NA
11	B12	NA	NA		NA	NA
11	C1	410725-00	NA	hsa-mir-1231	MIMAT0005586	NA
11	C2	410739-00	NA	hsa-mir-1202	MIMAT0005865	NA
11	C3	410760-00	NA	hsa-mir-1290	MIMAT0005880	NA
11	C4	410798-00	NA	hsa-mir-1257	MIMAT0005908	NA
11	C5	413039-00	NA	hsa-mir-1538	MIMAT0007400	NA
11	C6	410831-00	NA	hsa-mir-548e	MIMAT0005874	NA
11	C7	NA	51103	hsa-mir-664	MIMAT0005949	NA
11	C8	410881-00	NA	hsa-mir-518f	MIMAT0002842	NA
11	C9	411252-00	NA	hsa-mir-1302	MIMAT0005890	NA
11	C10	410941-00	NA	hsa-mir-502-3p	MIMAT0004775	NA
11	C11	410963-00	NA	hsa-mir-1262	MIMAT0005914	NA
11	C12	NA	NA		NA	NA
11	D1	413023-00	NA	hsa-mir-1471	MIMAT0007349	NA
11	D2	411132-00	NA	hsa-mir-1268	MIMAT0005922	NA
11	D3	410774-00	NA	hsa-mir-1323	MIMAT0005795	NA
11	D4	411172-00	NA	hsa-mir-1292	MIMAT0005943	NA
11	D5	411185-00	NA	hsa-mir-720	MIMAT0005954	NA
11	D6	410832-00	NA	hsa-mir-548i	MIMAT0005935	NA
11	D7	NA	51111	hsa-mir-103	MIMAT0000101	NA
11	D8	410882-00	NA	hsa-mir-1266	MIMAT0005920	NA
11	D9	411256-00	NA	hsa-mir-1826	MIMAT0006766	NA
11	D10	411276-00	NA	hsa-mir-1224-3p	MIMAT0005459	NA
11	D11	410732-00	NA	hsa-mir-1254	MIMAT0005905	NA
11	D12	NA	NA		NA	NA
11	E1	410742-00	NA	hsa-mir-1299	MIMAT0005887	NA
11	E2	410777-00	NA	hsa-mir-518f*	MIMAT0002841	NA
11	E3	NA	58528	hsa-mir-1276	MIMAT0005930	NA
11	E4	410825-00	NA	hsa-mir-1238	MIMAT0005593	NA
11	E5	410835-00	NA	hsa-mir-548k	MIMAT0005882	NA
11	E6	410859-00	NA	hsa-mir-1269	MIMAT0005923	NA
11	E7	410886-00	NA	hsa-mir-449b	MIMAT0003327	NA
11	E8	410922-00	NA	hsa-mir-320b	MIMAT0005792	NA
11	E9	411277-00	NA	hsa-mir-1237	MIMAT0005592	NA
11	E10	NA	50886	hsa-mir-1270	MIMAT0005924	NA
11	E11	411137-00	NA	hsa-mir-1207-5p	MIMAT0005871	NA
11	E12	NA	NA		NA	NA
11	F1	413034-00	NA	hsa-mir-1911*	MIMAT0007886	NA
11	F2	410813-00	NA	hsa-mir-1303	MIMAT0005891	NA
11	F3	413734-00	NA	hsa-mir-1909	MIMAT0007883	NA
11	F4	NA	51079	hsa-mir-1253	MIMAT0005904	NA
11	F5	410861-00	NA	hsa-mir-1293	MIMAT0005883	NA
11	F6	411238-00	NA	hsa-mir-663b	MIMAT0005867	NA
11	F7	411258-00	NA	hsa-mir-1233	MIMAT0005588	NA
11	F8	410950-00	NA	hsa-mir-1205	MIMAT0005869	NA
11	F9	411122-00	NA	hsa-mir-1225-5p	MIMAT0005572	NA
11	F10	410743-00	NA	hsa-mir-520b	MIMAT0002843	NA
11	F11	NA	50980	hsa-mir-1271	MIMAT0005796	NA
11	F12	NA	NA		NA	NA
11	G1	410814-00	NA	hsa-mir-1294	MIMAT0005884	NA
11	G2	413042-00	NA	hsa-mir-1913	MIMAT0007888	NA
11	G3	410010-00	NA	hsa-mir-526b*	MIMAT0002836	NA
11	G4	NA	51133	hsa-mir-1224-5p	MIMAT0005458	NA
11	G5	411241-00	NA	hsa-mir-1288	MIMAT0005942	NA
11	G6	410925-00	NA	hsa-mir-1227	MIMAT0005580	NA
11	G7	411283-00	NA	hsa-mir-1321	MIMAT0005952	NA
11	G8	410734-00	NA	hsa-mir-1183	MIMAT0005828	NA
11	G9	413028-00	NA	hsa-mir-1915*	MIMAT0007891	NA
11	G10	410787-00	NA	hsa-mir-1281	MIMAT0005939	NA
11	G11	413037-00	NA	hsa-mir-103-as	MIMAT0007402	NA
11	G12	NA	NA		NA	NA
11	H1	411188-00	NA	hsa-mir-1274b	MIMAT0005938	NA
11	H2	410843-00	NA	hsa-mir-1251	MIMAT0005903	NA
11	H3	411214-00	NA	hsa-mir-1297	MIMAT0005886	NA
11	H4	410902-00	NA	hsa-mir-513c	MIMAT0005789	NA
11	H5	411262-00	NA	hsa-mir-1827	MIMAT0006767	NA
11	H6	NA	51281	hsa-mir-664*	MIMAT0005948	NA
11	H7	NA	NA		NA	NA
11	H8	NA	NA		NA	NA
11	H9	NA	NA		NA	NA
11	H10	NA	NA		NA	NA
11	H11	NA	NA		NA	NA
11	H12	NA	NA		NA	NA
12	A1	NA	NA	hsa-miR-1972	MIMAT0009447	NA
12	A2	NA	NA	hsa-miR-3200-5p	MIMAT0017392	NA
12	A3	NA	NA	hsa-miR-764	MIMAT0010367	NA
12	A4	NA	NA	hsa-miR-3126-3p	MIMAT0015377	NA
12	A5	NA	NA	hsa-miR-3120	MIMAT0014982	NA
12	A6	NA	NA	hsa-miR-2861	MIMAT0013802	NA
12	A7	NA	NA	hsa-miR-3164	MIMAT0015038	NA
12	A8	NA	NA	hsa-miR-2114*	MIMAT0011157	NA
12	A9	NA	NA	hsa-miR-3124	MIMAT0014986	NA
12	A10	NA	NA	hsa-miR-548v	MIMAT0015020	NA
12	A11	NA	NA	hsa-miR-2110	MIMAT0010133	NA
12	A12	NA	NA	hsa-miR-3154	MIMAT0015028	NA
12	B1	NA	NA	hsa-miR-3180	MIMAT0018178	NA
12	B2	NA	NA	hsa-miR-759	MIMAT0010497	NA
12	B3	NA	NA	hsa-miR-670	MIMAT0010357	NA
12	B4	NA	NA	hsa-miR-548t	MIMAT0015009	NA
12	B5	NA	NA	hsa-miR-3144-3p	MIMAT0015015	NA
12	B6	NA	NA	hsa-miR-3186-3p	MIMAT0015068	NA
12	B7	NA	NA	hsa-miR-518a-5p/hsa-miR-527	MIMAT0005457/MIMAT0002862	NA
12	B8	NA	NA	hsa-miR-224*	MIMAT0009198	NA
12	B9	NA	NA	hsa-miR-3116	MIMAT0014978	NA
12	B10	NA	NA	hsa-miR-548u	MIMAT0015013	NA
12	B11	NA	NA	hsa-miR-2277-5p	MIMAT0017352	NA
12	B12	NA	NA	hsa-miR-3138	MIMAT0015006	NA
12	C1	NA	NA	hsa-miR-1193	MIMAT0015049	NA
12	C2	NA	NA	hsa-miR-3136	MIMAT0015003	NA
12	C3	NA	NA	hsa-miR-3184	MIMAT0015064	NA
12	C4	NA	NA	hsa-miR-3065-3p	MIMAT0015378	NA
12	C5	NA	NA	hsa-miR-3192	MIMAT0015076	NA
12	C6	NA	NA	hsa-miR-3129	MIMAT0014992	NA
12	C7	NA	NA	hsa-miR-548s	MIMAT0014987	NA
12	C8	NA	NA	hsa-miR-2114	MIMAT0011156	NA
12	C9	NA	NA	hsa-miR-3167	MIMAT0015042	NA
12	C10	NA	NA	hsa-miR-3190	MIMAT0015073	NA
12	C11	NA	NA	hsa-miR-378c	MIMAT0016847	NA
12	C12	NA	NA	hsa-miR-3123	MIMAT0014985	NA
12	D1	NA	NA	hsa-miR-2115	MIMAT0011158	NA
12	D2	NA	NA	hsa-miR-323b-3p	MIMAT0015050	NA
12	D3	NA	NA	hsa-miR-544b	MIMAT0015004	NA
12	D4	NA	NA	hsa-miR-3121	MIMAT0014983	NA
12	D5	NA	NA	hsa-miR-3646	MIMAT0018065	NA
12	D6	NA	NA	hsa-miR-3186-5p	MIMAT0015067	NA
12	D7	NA	NA	hsa-miR-3140	MIMAT0015008	NA
12	D8	NA	NA	hsa-miR-514b-5p	MIMAT0015087	NA
12	D9	NA	NA	hsa-miR-3605-3p	MIMAT0017982	NA
12	D10	NA	NA	hsa-miR-205*	MIMAT0009197	NA
12	D11	NA	NA	hsa-miR-3130-3p	MIMAT0014994	NA
12	D12	NA	NA	hsa-miR-548x	MIMAT0015081	NA
12	E1	NA	NA	hsa-miR-378b	MIMAT0014999	NA
12	E2	NA	NA	hsa-miR-3653	MIMAT0018073	NA
12	E3	NA	NA	hsa-miR-449c	MIMAT0010251	NA
12	E4	NA	NA	hsa-miR-3179	MIMAT0015056	NA
12	E5	NA	NA	hsa-miR-2277-3p	MIMAT0011777	NA
12	E6	NA	NA	hsa-miR-1273d	MIMAT0015090	NA
12	E7	NA	NA	hsa-miR-548w	MIMAT0015060	NA
12	E8	NA	NA	hsa-miR-3065-5p	MIMAT0015066	NA
12	E9	NA	NA	hsa-miR-3171	MIMAT0015046	NA
12	E10	NA	NA	hsa-miR-3650	MIMAT0018070	NA
12	E11	NA	NA	hsa-miR-2113	MIMAT0009206	NA
12	E12	NA	NA	hsa-miR-2115*	MIMAT0011159	NA
12	F1	NA	NA	hsa-miR-23c	MIMAT0018000	NA
12	F2	NA	NA	hsa-miR-711	MIMAT0012734	NA
12	F3	NA	NA	hsa-miR-3609	MIMAT0017986	NA
12	F4	NA	NA	hsa-miR-3917	MIMAT0018191	NA
12	F5	NA	NA	hsa-miR-500b	MIMAT0016925	NA
12	F6	NA	NA	hsa-miR-3200-3p	MIMAT0015085	NA
12	F7	NA	NA	hsa-miR-466	MIMAT0015002	NA
12	F8	NA	NA	hsa-miR-449c*	MIMAT0013771	NA
12	F9	NA	NA	hsa-miR-762	MIMAT0010313	NA
12	F10	NA	NA	hsa-miR-548q	MIMAT0011163	NA
12	F11	NA	NA	hsa-miR-3130-5p	MIMAT0014995	NA
12	F12	NA	NA	hsa-miR-761	MIMAT0010364	NA
12	G1	NA	NA	hsa-miR-718	MIMAT0012735	NA
12	G2	NA	NA	hsa-miR-3658	MIMAT0018078	NA
12	G3	NA	NA	hsa-miR-3144-5p	MIMAT0015014	NA
12	G4	NA	NA	hsa-miR-3910	MIMAT0018184	NA
12	G5	NA	NA	hsa-miR-2355-5p	MIMAT0016895	NA
12	G6	NA	NA	hsa-miR-1273c	MIMAT0015017	NA
12	G7	NA	NA	hsa-miR-3149	MIMAT0015022	NA
12	G8	NA	NA	hsa-miR-514b-3p	MIMAT0015088	NA
12	G9	NA	NA	hsa-miR-3158	MIMAT0015032	NA
12	G10	NA	NA	hsa-miR-2053	MIMAT0009978	NA
12	G11	NA	NA	hsa-miR-3175	MIMAT0015052	NA
12	G12	NA	NA	hsa-miR-3180-3p	MIMAT0015058	NA
12	H1	NA	NA	hsa-miR-3151	MIMAT0015024	NA
12	H2	NA	NA	hsa-miR-3152	MIMAT0015025	NA
12	H3	NA	NA	hsa-miR-365*	MIMAT0009199	NA
12	H4	NA	NA	hsa-miR-3118	MIMAT0014980	NA
12	H5	NA	NA	hsa-miR-3126-5p	MIMAT0014989	NA
12	H6	NA	NA	hsa-miR-320e	MIMAT0015072	NA
12	H7	NA	NA	hsa-miR-3142	MIMAT0015011	NA
12	H8	NA	NA	hsa-miR-449b*	MIMAT0009203	NA
12	H9	NA	NA	hsa-miR-3647-5p	MIMAT0018066	NA
12	H10	NA	NA	hsa-miR-3180-5p	MIMAT0015057	NA
12	H11	NA	NA	hsa-miR-3182	MIMAT0015062	NA
12	H12	NA	NA	hsa-miR-3605-5p	MIMAT0017981	NA
